fullname,Level of Maternity Care,fipscode
Laurens,Access to Maternity Care,45059
Lee,Maternity Care Desert,45061
Lexington,Access to Maternity Care,45063
McCormick,Maternity Care Desert,45065
Marion,Access to Maternity Care,45067
Marlboro,Access to Maternity Care,45069
Newberry,Low Access to Care,45071
Oconee,Access to Maternity Care,45073
Orangeburg,Low Access to Care,45075
Pickens,Access to Maternity Care,45077
Richland,Access to Maternity Care,45079
Saluda,Maternity Care Desert,45081
Spartanburg,Access to Maternity Care,45083
Sumter,Access to Maternity Care,45085
Union,Low Access to Care,45087
Williamsburg,Maternity Care Desert,45089
York,Access to Maternity Care,45091
Aurora,Maternity Care Desert,46003
Beadle,Maternity Care Desert,46005
Bennett,Maternity Care Desert,46007
Bon Homme,Maternity Care Desert,46009
Brookings,Moderate Access to Care,46011
Brown,Access to Maternity Care,46013
Brule,Low Access to Care,46015
Buffalo,Maternity Care Desert,46017
Butte,Maternity Care Desert,46019
Campbell,Maternity Care Desert,46021
Charles Mix,Maternity Care Desert,46023
Clark,Maternity Care Desert,46025
Clay,Access to Maternity Care,46027
Codington,Access to Maternity Care,46029
Corson,Maternity Care Desert,46031
Custer,Maternity Care Desert,46033
Davison,Access to Maternity Care,46035
Day,Maternity Care Desert,46037
Deuel,Maternity Care Desert,46039
Dewey,Access to Maternity Care,46041
Douglas,Maternity Care Desert,46043
Edmunds,Maternity Care Desert,46045
Fall River,Access to Maternity Care,46047
Faulk,Maternity Care Desert,46049
Grant,Maternity Care Desert,46051
Gregory,Maternity Care Desert,46053
Haakon,Access to Maternity Care,46055
Hamlin,Maternity Care Desert,46057
Hand,Maternity Care Desert,46059
Hanson,Maternity Care Desert,46061
Harding,Maternity Care Desert,46063
Hughes,Access to Maternity Care,46065
Hutchinson,Low Access to Care,46067
Hyde,Maternity Care Desert,46069
Jackson,Maternity Care Desert,46071
Jerauld,Maternity Care Desert,46073
Jones,Maternity Care Desert,46075
Kingsbury,Maternity Care Desert,46077
Lake,Moderate Access to Care,46079
Lawrence,Access to Maternity Care,46081
Lincoln,Access to Maternity Care,46083
Lyman,Maternity Care Desert,46085
McCook,Access to Maternity Care,46087
McPherson,Maternity Care Desert,46089
Marshall,Maternity Care Desert,46091
Meade,Maternity Care Desert,46093
Mellette,Maternity Care Desert,46095
Miner,Maternity Care Desert,46097
Minnehaha,Access to Maternity Care,46099
Moody,Maternity Care Desert,46101
Pennington,Access to Maternity Care,46103
Perkins,Access to Maternity Care,46105
Potter,Maternity Care Desert,46107
Roberts,Maternity Care Desert,46109
Sanborn,Access to Maternity Care,46111
Shannon,Maternity Care Desert,46113
Spink,Maternity Care Desert,46115
Stanley,Access to Maternity Care,46117
Sully,Maternity Care Desert,46119
Todd,Low Access to Care,46121
Tripp,Maternity Care Desert,46123
Turner,Maternity Care Desert,46125
Union,Access to Maternity Care,46127
Walworth,Access to Maternity Care,46129
Yankton,Access to Maternity Care,46135
Ziebach,Maternity Care Desert,46137
Anderson,Access to Maternity Care,47001
Bedford,Maternity Care Desert,47003
Benton,Maternity Care Desert,47005
Bledsoe,Maternity Care Desert,47007
Blount,Access to Maternity Care,47009
Bradley,Access to Maternity Care,47011
Campbell,Low Access to Care,47013
Cannon,Maternity Care Desert,47015
Carroll,Access to Maternity Care,47017
Carter,Access to Maternity Care,47019
Cheatham,Low Access to Care,47021
Chester,Maternity Care Desert,47023
Claiborne,Low Access to Care,47025
Clay,Maternity Care Desert,47027
Cocke,Low Access to Care,47029
Coffee,Access to Maternity Care,47031
Crockett,Maternity Care Desert,47033
Cumberland,Access to Maternity Care,47035
Davidson,Access to Maternity Care,47037
Decatur,Maternity Care Desert,47039
De Kalb,Maternity Care Desert,47041
Dickson,Access to Maternity Care,47043
Dyer,Access to Maternity Care,47045
Fayette,Access to Maternity Care,47047
Fentress,Low Access to Care,47049
Franklin,Low Access to Care,47051
Gibson,Access to Maternity Care,47053
Giles,Low Access to Care,47055
Grainger,Maternity Care Desert,47057
Greene,Access to Maternity Care,47059
Grundy,Maternity Care Desert,47061
Hamblen,Access to Maternity Care,47063
Hamilton,Access to Maternity Care,47065
Hancock,Maternity Care Desert,47067
Hardeman,Maternity Care Desert,47069
Hardin,Low Access to Care,47071
Hawkins,Low Access to Care,47073
Haywood,Access to Maternity Care,47075
Henderson,Low Access to Care,47077
Henry,Access to Maternity Care,47079
Hickman,Maternity Care Desert,47081
Houston,Maternity Care Desert,47083
Humphreys,Low Access to Care,47085
Jackson,Maternity Care Desert,47087
Jefferson,Low Access to Care,47089
Johnson,Access to Maternity Care,47091
Knox,Access to Maternity Care,47093
Lake,Maternity Care Desert,47095
Lauderdale,Maternity Care Desert,47097
Lawrence,Access to Maternity Care,47099
Lewis,Maternity Care Desert,47101
Lincoln,Low Access to Care,47103
Loudon,Low Access to Care,47105
McMinn,Access to Maternity Care,47107
McNairy,Low Access to Care,47109
Macon,Maternity Care Desert,47111
Madison,Access to Maternity Care,47113
Marion,Access to Maternity Care,47115
Marshall,Low Access to Care,47117
Maury,Access to Maternity Care,47119
Meigs,Maternity Care Desert,47121
Monroe,Access to Maternity Care,47123
Montgomery,Access to Maternity Care,47125
Moore,Maternity Care Desert,47127
Morgan,Maternity Care Desert,47129
Obion,Low Access to Care,47131
Overton,Access to Maternity Care,47133
Perry,Maternity Care Desert,47135
Pickett,Maternity Care Desert,47137
Polk,Access to Maternity Care,47139
Putnam,Access to Maternity Care,47141
Rhea,Maternity Care Desert,47143
Roane,Maternity Care Desert,47145
Robertson,Low Access to Care,47147
Rutherford,Access to Maternity Care,47149
Scott,Low Access to Care,47151
Sequatchie,Maternity Care Desert,47153
Sevier,Low Access to Care,47155
Shelby,Access to Maternity Care,47157
Smith,Access to Maternity Care,47159
Stewart,Maternity Care Desert,47161
Sullivan,Access to Maternity Care,47163
Sumner,Access to Maternity Care,47165
Tipton,Low Access to Care,47167
Trousdale,Maternity Care Desert,47169
Unicoi,Maternity Care Desert,47171
Union,Maternity Care Desert,47173
Van Buren,Maternity Care Desert,47175
Warren,Low Access to Care,47177
Washington,Access to Maternity Care,47179
Wayne,Maternity Care Desert,47181
Weakley,Access to Maternity Care,47183
White,Access to Maternity Care,47185
Williamson,Access to Maternity Care,47187
Wilson,Low Access to Care,47189
Anderson,Access to Maternity Care,48001
Andrews,Access to Maternity Care,48003
Angelina,Access to Maternity Care,48005
Aransas,Low Access to Care,48007
Archer,Maternity Care Desert,48009
Armstrong,Maternity Care Desert,48011
Atascosa,Low Access to Care,48013
Austin,Maternity Care Desert,48015
Bailey,Maternity Care Desert,48017
Bandera,Low Access to Care,48019
Bastrop,Low Access to Care,48021
Baylor,Low Access to Care,48023
Bee,Low Access to Care,48025
Bell,Access to Maternity Care,48027
Bexar,Access to Maternity Care,48029
Blanco,Access to Maternity Care,48031
Borden,Maternity Care Desert,48033
Bosque,Access to Maternity Care,48035
Bowie,Access to Maternity Care,48037
Brazoria,Access to Maternity Care,48039
Brazos,Access to Maternity Care,48041
Brewster,Access to Maternity Care,48043
Briscoe,Maternity Care Desert,48045
Brooks,Maternity Care Desert,48047
Brown,Access to Maternity Care,48049
Burleson,Maternity Care Desert,48051
Burnet,Access to Maternity Care,48053
Caldwell,Maternity Care Desert,48055
Calhoun,Low Access to Care,48057
Callahan,Maternity Care Desert,48059
Cameron,Access to Maternity Care,48061
Camp,Maternity Care Desert,48063
Carson,Maternity Care Desert,48065
Cass,Maternity Care Desert,48067
Castro,Maternity Care Desert,48069
Chambers,Low Access to Care,48071
Cherokee,Low Access to Care,48073
Childress,Low Access to Care,48075
Clay,Maternity Care Desert,48077
Cochran,Maternity Care Desert,48079
Coke,Maternity Care Desert,48081
Coleman,Maternity Care Desert,48083
Collin,Access to Maternity Care,48085
Collingsworth,Maternity Care Desert,48087
Colorado,Access to Maternity Care,48089
Comal,Access to Maternity Care,48091
Comanche,Maternity Care Desert,48093
Concho,Maternity Care Desert,48095
Cooke,Low Access to Care,48097
Coryell,Low Access to Care,48099
Cottle,Maternity Care Desert,48101
Crane,Maternity Care Desert,48103
Crockett,Maternity Care Desert,48105
Crosby,Maternity Care Desert,48107
Culberson,Maternity Care Desert,48109
Dallam,Low Access to Care,48111
Dallas county,Access to Maternity Care,48113
Dawson,Low Access to Care,48115
Deaf Smith,Low Access to Care,48117
Delta,Maternity Care Desert,48119
Denton,Access to Maternity Care,48121
De Witt,Low Access to Care,48123
Dickens,Maternity Care Desert,48125
Dimmit,Access to Maternity Care,48127
Donley,Maternity Care Desert,48129
Duval,Maternity Care Desert,48131
Eastland,Maternity Care Desert,48133
Ector,Access to Maternity Care,48135
Edwards,Maternity Care Desert,48137
Ellis,Access to Maternity Care,48139
El Paso county,Access to Maternity Care,48141
Erath,Low Access to Care,48143
Falls,Maternity Care Desert,48145
Fannin,Maternity Care Desert,48147
Fayette,Low Access to Care,48149
Fisher,Maternity Care Desert,48151
Floyd,Maternity Care Desert,48153
Foard,Maternity Care Desert,48155
Fort Bend,Access to Maternity Care,48157
Franklin,Access to Maternity Care,48159
Freestone,Maternity Care Desert,48161
Frio,Low Access to Care,48163
Gaines,Low Access to Care,48165
Galveston,Access to Maternity Care,48167
Garza,Maternity Care Desert,48169
Gillespie,Access to Maternity Care,48171
Glasscock,Maternity Care Desert,48173
Goliad,Maternity Care Desert,48175
Gonzales,Low Access to Care,48177
Gray,Low Access to Care,48179
Grayson,Access to Maternity Care,48181
Gregg,Access to Maternity Care,48183
Grimes,Maternity Care Desert,48185
Guadalupe,Access to Maternity Care,48187
Hale,Low Access to Care,48189
Hall,Maternity Care Desert,48191
Hamilton,Maternity Care Desert,48193
Hansford,Maternity Care Desert,48195
Hardeman,Maternity Care Desert,48197
Hardin,Low Access to Care,48199
Harris,Access to Maternity Care,48201
Harrison,Low Access to Care,48203
Hartley,Maternity Care Desert,48205
Haskell,Maternity Care Desert,48207
Hays,Access to Maternity Care,48209
Hemphill,Maternity Care Desert,48211
Henderson,Access to Maternity Care,48213
Hidalgo,Access to Maternity Care,48215
Hill,Low Access to Care,48217
Hockley,Low Access to Care,48219
Hood,Low Access to Care,48221
Hopkins,Access to Maternity Care,48223
Houston,Maternity Care Desert,48225
Howard,Low Access to Care,48227
Hudspeth,Maternity Care Desert,48229
Hunt,Low Access to Care,48231
Hutchinson,Low Access to Care,48233
Irion,Maternity Care Desert,48235
Jack,Low Access to Care,48237
Jackson,Maternity Care Desert,48239
Jasper,Low Access to Care,48241
Jeff Davis,Maternity Care Desert,48243
Jefferson,Access to Maternity Care,48245
Jim Hogg,Maternity Care Desert,48247
Jim Wells,Low Access to Care,48249
Johnson,Access to Maternity Care,48251
Jones,Maternity Care Desert,48253
Karnes,Maternity Care Desert,48255
Kaufman,Access to Maternity Care,48257
Kendall,Access to Maternity Care,48259
Kenedy,Maternity Care Desert,48261
Kent,Maternity Care Desert,48263
Kerr,Access to Maternity Care,48265
Kimble,Maternity Care Desert,48267
King,Maternity Care Desert,48269
Kinney,Maternity Care Desert,48271
Kleberg,Low Access to Care,48273
Knox,Maternity Care Desert,48275
Lamar,Access to Maternity Care,48277
Lamb,Low Access to Care,48279
Lampasas,Low Access to Care,48281
La Salle,Maternity Care Desert,48283
Lavaca,Maternity Care Desert,48285
Lee,Maternity Care Desert,48287
Leon,Maternity Care Desert,48289
Liberty,Low Access to Care,48291
Limestone,Maternity Care Desert,48293
Lipscomb,Maternity Care Desert,48295
Live Oak,Maternity Care Desert,48297
Llano,Access to Maternity Care,48299
Loving,Maternity Care Desert,48301
Lubbock,Access to Maternity Care,48303
Lynn,Maternity Care Desert,48305
McCulloch,Maternity Care Desert,48307
McLennan,Access to Maternity Care,48309
McMullen,Maternity Care Desert,48311
Madison,Maternity Care Desert,48313
Marion,Maternity Care Desert,48315
Martin,Maternity Care Desert,48317
Mason,Maternity Care Desert,48319
Matagorda,Low Access to Care,48321
Maverick,Access to Maternity Care,48323
Medina,Low Access to Care,48325
Menard,Maternity Care Desert,48327
Midland,Access to Maternity Care,48329
Milam,Maternity Care Desert,48331
Mills,Maternity Care Desert,48333
Mitchell,Maternity Care Desert,48335
Montague,Maternity Care Desert,48337
Montgomery,Access to Maternity Care,48339
Moore,Low Access to Care,48341
Morris,Access to Maternity Care,48343
Motley,Maternity Care Desert,48345
Nacogdoches,Access to Maternity Care,48347
Navarro,Access to Maternity Care,48349
Newton,Maternity Care Desert,48351
Nolan,Low Access to Care,48353
Nueces,Access to Maternity Care,48355
Ochiltree,Low Access to Care,48357
Oldham,Maternity Care Desert,48359
Orange,Maternity Care Desert,48361
Palo Pinto,Access to Maternity Care,48363
Panola,Maternity Care Desert,48365
Parker,Access to Maternity Care,48367
Parmer,Maternity Care Desert,48369
Pecos,Low Access to Care,48371
Polk,Access to Maternity Care,48373
Potter,Access to Maternity Care,48375
Presidio,Maternity Care Desert,48377
Rains,Maternity Care Desert,48379
Randall,Access to Maternity Care,48381
Reagan,Maternity Care Desert,48383
Real,Maternity Care Desert,48385
Red River,Maternity Care Desert,48387
Reeves,Low Access to Care,48389
Refugio,Maternity Care Desert,48391
Roberts,Maternity Care Desert,48393
Robertson,Maternity Care Desert,48395
Rockwall,Access to Maternity Care,48397
Runnels,Maternity Care Desert,48399
Rusk,Low Access to Care,48401
Sabine,Access to Maternity Care,48403
San Augustine,Maternity Care Desert,48405
San Jacinto,Maternity Care Desert,48407
San Patricio,Maternity Care Desert,48409
San Saba,Maternity Care Desert,48411
Schleicher,Maternity Care Desert,48413
Scurry,Low Access to Care,48415
Shackelford,Low Access to Care,48417
Shelby,Low Access to Care,48419
Sherman,Maternity Care Desert,48421
Smith,Access to Maternity Care,48423
Somervell,Maternity Care Desert,48425
Starr,Low Access to Care,48427
Stephens,Maternity Care Desert,48429
Sterling,Maternity Care Desert,48431
Stonewall,Maternity Care Desert,48433
Sutton,Maternity Care Desert,48435
Swisher,Maternity Care Desert,48437
Tarrant,Access to Maternity Care,48439
Taylor,Access to Maternity Care,48441
Terrell,Maternity Care Desert,48443
Terry,Low Access to Care,48445
Throckmorton,Maternity Care Desert,48447
Titus,Access to Maternity Care,48449
Tom Green,Access to Maternity Care,48451
Travis,Access to Maternity Care,48453
Trinity,Maternity Care Desert,48455
Tyler,Maternity Care Desert,48457
Upshur,Maternity Care Desert,48459
Upton,Maternity Care Desert,48461
Uvalde,Low Access to Care,48463
Val Verde,Access to Maternity Care,48465
Van Zandt,Low Access to Care,48467
Victoria,Access to Maternity Care,48469
Walker,Low Access to Care,48471
Waller,Maternity Care Desert,48473
Ward,Low Access to Care,48475
Washington,Access to Maternity Care,48477
Webb,Access to Maternity Care,48479
Wharton,Low Access to Care,48481
Wheeler,Maternity Care Desert,48483
Wichita,Access to Maternity Care,48485
Wilbarger,Maternity Care Desert,48487
Willacy,Maternity Care Desert,48489
Williamson,Access to Maternity Care,48491
Wilson,Maternity Care Desert,48493
Winkler,Maternity Care Desert,48495
Wise,Access to Maternity Care,48497
Wood,Maternity Care Desert,48499
Yoakum,Low Access to Care,48501
Young,Low Access to Care,48503
Zapata,Maternity Care Desert,48505
Zavala,Maternity Care Desert,48507
Beaver,Low Access to Care,49001
Box Elder,Access to Maternity Care,49003
Cache,Access to Maternity Care,49005
Carbon,Access to Maternity Care,49007
Daggett,Maternity Care Desert,49009
Davis,Access to Maternity Care,49011
Duchesne,Low Access to Care,49013
Emery,Maternity Care Desert,49015
Garfield,Access to Maternity Care,49017
Grand,Low Access to Care,49019
Iron,Low Access to Care,49021
Juab,Low Access to Care,49023
Kane,Maternity Care Desert,49025
Millard,Access to Maternity Care,49027
Morgan,Maternity Care Desert,49029
Piute,Maternity Care Desert,49031
Rich,Maternity Care Desert,49033
Salt Lake,Access to Maternity Care,49035
San Juan,Low Access to Care,49037
Sanpete,Low Access to Care,49039
Sevier,Low Access to Care,49041
Summit,Access to Maternity Care,49043
Tooele,Low Access to Care,49045
Uintah,Low Access to Care,49047
Utah county,Access to Maternity Care,49049
Wasatch,Access to Maternity Care,49051
Washington,Access to Maternity Care,49053
Wayne,Maternity Care Desert,49055
Weber,Access to Maternity Care,49057
Accomack,Low Access to Care,51001
Albemarle,Access to Maternity Care,51003
Alleghany,Access to Maternity Care,51005
Amelia,Maternity Care Desert,51007
Amherst,Maternity Care Desert,51009
Appomattox,Low Access to Care,51011
Arlington,Access to Maternity Care,51013
Augusta,Access to Maternity Care,51015
Bath,Maternity Care Desert,51017
Bedford,Moderate Access to Care,51019
Bland,Maternity Care Desert,51021
Botetourt,Access to Maternity Care,51023
Brunswick,Access to Maternity Care,51025
Buchanan,Maternity Care Desert,51027
Buckingham,Maternity Care Desert,51029
Campbell,Low Access to Care,51031
Caroline,Moderate Access to Care,51033
Carroll,Access to Maternity Care,51035
Charles City,Maternity Care Desert,51036
Charlotte,Access to Maternity Care,51037
Chesterfield,Access to Maternity Care,51041
Clarke,Access to Maternity Care,51043
Craig,Maternity Care Desert,51045
Culpeper,Access to Maternity Care,51047
Cumberland,Maternity Care Desert,51049
Dickenson,Maternity Care Desert,51051
Dinwiddie,Maternity Care Desert,51053
Essex,Maternity Care Desert,51057
Fairfax county,Access to Maternity Care,51059
Fauquier,Access to Maternity Care,51061
Floyd,Access to Maternity Care,51063
Fluvanna,Access to Maternity Care,51065
Franklin,Access to Maternity Care,51067
Frederick,Access to Maternity Care,51069
Giles,Maternity Care Desert,51071
Gloucester,Access to Maternity Care,51073
Goochland,Access to Maternity Care,51075
Grayson,Maternity Care Desert,51077
Greene,Low Access to Care,51079
Greensville,Maternity Care Desert,51081
Halifax,Low Access to Care,51083
Hanover,Access to Maternity Care,51085
Henrico,Access to Maternity Care,51087
Henry,Low Access to Care,51089
Highland,Maternity Care Desert,51091
Isle of Wight,Access to Maternity Care,51093
James City,Access to Maternity Care,51095
King and Queen,Maternity Care Desert,51097
King George,Maternity Care Desert,51099
King William,Maternity Care Desert,51101
Lancaster,Access to Maternity Care,51103
Lee,Maternity Care Desert,51105
Loudoun,Access to Maternity Care,51107
Louisa,Low Access to Care,51109
Lunenburg,Maternity Care Desert,51111
Madison,Maternity Care Desert,51113
Mathews,Access to Maternity Care,51115
Mecklenburg,Access to Maternity Care,51117
Middlesex,Maternity Care Desert,51119
Montgomery,Access to Maternity Care,51121
Nelson,Access to Maternity Care,51125
New Kent,Moderate Access to Care,51127
Northampton,Access to Maternity Care,51131
Northumberland,Access to Maternity Care,51133
Nottoway,Access to Maternity Care,51135
Orange,Maternity Care Desert,51137
Page,Maternity Care Desert,51139
Patrick,Access to Maternity Care,51141
Pittsylvania,Maternity Care Desert,51143
Powhatan,Access to Maternity Care,51145
Prince Edward,Access to Maternity Care,51147
Prince George,Maternity Care Desert,51149
Prince William,Low Access to Care,51153
Pulaski,Maternity Care Desert,51155
Rappahannock,Maternity Care Desert,51157
Richmond,Maternity Care Desert,51159
Roanoke,Access to Maternity Care,51161
Rockbridge,Access to Maternity Care,51163
Rockingham,Low Access to Care,51165
Russell,Maternity Care Desert,51167
Scott,Maternity Care Desert,51169
Shenandoah,Access to Maternity Care,51171
Smyth,Maternity Care Desert,51173
Southampton,Maternity Care Desert,51175
Spotsylvania,Access to Maternity Care,51177
Stafford,Moderate Access to Care,51179
Surry,Access to Maternity Care,51181
Sussex,Access to Maternity Care,51183
Tazewell,Access to Maternity Care,51185
Warren,Low Access to Care,51187
Washington,Access to Maternity Care,51191
Westmoreland,Maternity Care Desert,51193
Wise,Low Access to Care,51195
Wythe,Access to Maternity Care,51197
York,Access to Maternity Care,51199
Alexandria city,Access to Maternity Care,51510
Bristol city,Maternity Care Desert,51520
Buena Vista city,Maternity Care Desert,51530
Charlottesville city,Access to Maternity Care,51540
Chesapeake city,Access to Maternity Care,51550
Colonial Heights city,Access to Maternity Care,51570
Covington city,Maternity Care Desert,51580
Danville city,Access to Maternity Care,51590
Emporia city,Moderate Access to Care,51595
Fairfax city,Low Access to Care,51600
Falls Church city,Access to Maternity Care,51610
Franklin city,Access to Maternity Care,51620
Fredericksburg city,Access to Maternity Care,51630
Galax city,Access to Maternity Care,51640
Hampton city,Moderate Access to Care,51650
Harrisonburg city,Access to Maternity Care,51660
Hopewell city,Maternity Care Desert,51670
Lexington city,Access to Maternity Care,51678
Lynchburg city,Access to Maternity Care,51680
Manassas city,Access to Maternity Care,51683
Manassas Park city,Maternity Care Desert,51685
Martinsville city,Maternity Care Desert,51690
Newport News city,Access to Maternity Care,51700
Norfolk city,Access to Maternity Care,51710
Norton city,Access to Maternity Care,51720
Petersburg city,Low Access to Care,51730
Poquoson city,Access to Maternity Care,51735
Portsmouth city,Moderate Access to Care,51740
Radford city,Access to Maternity Care,51750
Richmond city,Access to Maternity Care,51760
Roanoke city,Access to Maternity Care,51770
Salem city,Access to Maternity Care,51775
Staunton city,Moderate Access to Care,51790
Suffolk city,Access to Maternity Care,51800
Virginia Beach city,Access to Maternity Care,51810
Waynesboro city,Access to Maternity Care,51820
Williamsburg city,Maternity Care Desert,51830
Winchester city,Access to Maternity Care,51840
Addison,Access to Maternity Care,50001
Bennington,Access to Maternity Care,50003
Caledonia,Access to Maternity Care,50005
Chittenden,Access to Maternity Care,50007
Essex,Maternity Care Desert,50009
Franklin,Access to Maternity Care,50011
Grand Isle,Access to Maternity Care,50013
Lamoille,Access to Maternity Care,50015
Orange,Access to Maternity Care,50017
Orleans,Access to Maternity Care,50019
Rutland,Access to Maternity Care,50021
Washington,Access to Maternity Care,50023
Windham,Access to Maternity Care,50025
Windsor,Access to Maternity Care,50027
Adams,Low Access to Care,53001
Asotin,Access to Maternity Care,53003
Benton,Access to Maternity Care,53005
Chelan,Access to Maternity Care,53007
Clallam,Access to Maternity Care,53009
Clark,Access to Maternity Care,53011
Columbia,Maternity Care Desert,53013
Cowlitz,Access to Maternity Care,53015
Douglas,Maternity Care Desert,53017
Ferry,Maternity Care Desert,53019
Franklin,Low Access to Care,53021
Garfield,Maternity Care Desert,53023
Grant,Access to Maternity Care,53025
Grays Harbor,Access to Maternity Care,53027
Island,Access to Maternity Care,53029
Jefferson,Access to Maternity Care,53031
King,Access to Maternity Care,53033
Kitsap,Access to Maternity Care,53035
Kittitas,Access to Maternity Care,53037
Klickitat,Access to Maternity Care,53039
Lewis,Low Access to Care,53041
Lincoln,Maternity Care Desert,53043
Mason,Low Access to Care,53045
Okanogan,Access to Maternity Care,53047
Pacific,Maternity Care Desert,53049
Pend Oreille,Access to Maternity Care,53051
Pierce,Access to Maternity Care,53053
San Juan,Access to Maternity Care,53055
Skagit,Access to Maternity Care,53057
Skamania,Maternity Care Desert,53059
Snohomish,Access to Maternity Care,53061
Spokane,Access to Maternity Care,53063
Stevens,Low Access to Care,53065
Thurston,Access to Maternity Care,53067
Wahkiakum,Maternity Care Desert,53069
Walla Walla,Access to Maternity Care,53071
Whatcom,Access to Maternity Care,53073
Whitman,Access to Maternity Care,53075
Yakima,Access to Maternity Care,53077
Adams,Maternity Care Desert,55001
Ashland,Access to Maternity Care,55003
Barron,Access to Maternity Care,55005
Bayfield,Access to Maternity Care,55007
Brown,Access to Maternity Care,55009
Buffalo,Access to Maternity Care,55011
Burnett,Access to Maternity Care,55013
Calumet,Maternity Care Desert,55015
Chippewa,Access to Maternity Care,55017
Clark,Low Access to Care,55019
Columbia,Access to Maternity Care,55021
Crawford,Access to Maternity Care,55023
Dane,Access to Maternity Care,55025
Dodge,Access to Maternity Care,55027
Door,Access to Maternity Care,55029
Douglas,Maternity Care Desert,55031
Dunn,Access to Maternity Care,55033
Eau Claire,Access to Maternity Care,55035
Florence,Maternity Care Desert,55037
Fond du Lac,Access to Maternity Care,55039
Forest,Maternity Care Desert,55041
Grant,Access to Maternity Care,55043
Green,Access to Maternity Care,55045
Green Lake,Moderate Access to Care,55047
Iowa,Access to Maternity Care,55049
Iron,Maternity Care Desert,55051
Jackson,Access to Maternity Care,55053
Jefferson,Moderate Access to Care,55055
Juneau,Moderate Access to Care,55057
Kenosha,Access to Maternity Care,55059
Kewaunee,Maternity Care Desert,55061
La Crosse,Access to Maternity Care,55063
Lafayette,Maternity Care Desert,55065
Langlade,Moderate Access to Care,55067
Lincoln,Maternity Care Desert,55069
Manitowoc,Access to Maternity Care,55071
Marathon,Access to Maternity Care,55073
Marinette,Access to Maternity Care,55075
Marquette,Maternity Care Desert,55077
Menominee,Maternity Care Desert,55078
Milwaukee county,Access to Maternity Care,55079
Monroe,Moderate Access to Care,55081
Oconto,Moderate Access to Care,55083
Oneida,Access to Maternity Care,55085
Outagamie,Access to Maternity Care,55087
Ozaukee,Access to Maternity Care,55089
Pepin,Maternity Care Desert,55091
Pierce,Moderate Access to Care,55093
Polk,Access to Maternity Care,55095
Portage,Access to Maternity Care,55097
Price,Maternity Care Desert,55099
Racine,Access to Maternity Care,55101
Richland,Access to Maternity Care,55103
Rock,Access to Maternity Care,55105
Rusk,Maternity Care Desert,55107
St Croix,Access to Maternity Care,55109
Sauk,Access to Maternity Care,55111
Sawyer,Low Access to Care,55113
Shawano,Moderate Access to Care,55115
Sheboygan,Access to Maternity Care,55117
Taylor,Access to Maternity Care,55119
Trempealeau,Moderate Access to Care,55121
Vernon,Access to Maternity Care,55123
Vilas,Low Access to Care,55125
Walworth,Access to Maternity Care,55127
Washburn,Maternity Care Desert,55129
Washington,Access to Maternity Care,55131
Waukesha,Access to Maternity Care,55133
Waupaca,Access to Maternity Care,55135
Waushara,Moderate Access to Care,55137
Winnebago,Access to Maternity Care,55139
Wood,Access to Maternity Care,55141
Barbour,Maternity Care Desert,54001
Berkeley,Access to Maternity Care,54003
Boone,Maternity Care Desert,54005
Braxton,Maternity Care Desert,54007
Brooke,Maternity Care Desert,54009
Cabell,Access to Maternity Care,54011
Calhoun,Maternity Care Desert,54013
Clay,Maternity Care Desert,54015
Doddridge,Maternity Care Desert,54017
Fayette,Moderate Access to Care,54019
Gilmer,Maternity Care Desert,54021
Grant,Access to Maternity Care,54023
Greenbrier,Access to Maternity Care,54025
Hampshire,Maternity Care Desert,54027
Hancock,Access to Maternity Care,54029
Hardy,Maternity Care Desert,54031
Harrison,Access to Maternity Care,54033
Jackson,Moderate Access to Care,54035
Jefferson,Access to Maternity Care,54037
Kanawha,Access to Maternity Care,54039
Lewis,Moderate Access to Care,54041
Lincoln,Maternity Care Desert,54043
Logan,Moderate Access to Care,54045
McDowell,Maternity Care Desert,54047
Marion,Moderate Access to Care,54049
Marshall,Moderate Access to Care,54051
Mason,Access to Maternity Care,54053
Mercer,Moderate Access to Care,54055
Mineral,Access to Maternity Care,54057
Mingo,Maternity Care Desert,54059
Monongalia,Access to Maternity Care,54061
Monroe,Maternity Care Desert,54063
Morgan,Maternity Care Desert,54065
Nicholas,Access to Maternity Care,54067
Ohio,Access to Maternity Care,54069
Pendleton,Maternity Care Desert,54071
Pleasants,Maternity Care Desert,54073
Pocahontas,Access to Maternity Care,54075
Preston,Access to Maternity Care,54077
Putnam,Access to Maternity Care,54079
Raleigh,Access to Maternity Care,54081
Randolph,Access to Maternity Care,54083
Ritchie,Maternity Care Desert,54085
Roane,Access to Maternity Care,54087
Summers,Maternity Care Desert,54089
Taylor,Maternity Care Desert,54091
Tucker,Maternity Care Desert,54093
Tyler,Maternity Care Desert,54095
Upshur,Access to Maternity Care,54097
Wayne,Access to Maternity Care,54099
Webster,Maternity Care Desert,54101
Wetzel,Maternity Care Desert,54103
Wirt,Maternity Care Desert,54105
Wood,Access to Maternity Care,54107
Wyoming,Maternity Care Desert,54109
Albany,Access to Maternity Care,56001
Big Horn,Maternity Care Desert,56003
Campbell,Access to Maternity Care,56005
Carbon,Low Access to Care,56007
Converse,Access to Maternity Care,56009
Crook,Maternity Care Desert,56011
Fremont,Access to Maternity Care,56013
Goshen,Low Access to Care,56015
Hot Springs,Access to Maternity Care,56017
Johnson,Low Access to Care,56019
